date,amount,category,vendor
2025-08-13,33.53,health,Shiba Hospital
2025-08-13,136.3,groceries,Shufersal
2025-08-18,61.46,dining,Aroma
2025-08-20,177.35,groceries,Rami Levy
2025-08-21,34.43,transportation,Bolt
2025-08-24,79.66,entertainment,Museum
2025-08-27,142.64,groceries,Shufersal
2025-09-01,46.33,utilities,Phone - Golan
2025-09-06,22.88,subscriptions,Netflix
2025-09-06,9.24,subscriptions,Spotify
2025-09-08,14.07,transportation,Parking
2025-09-10,36.68,entertainment,Arcade
2025-09-13,107.3,groceries,Whole Foods
2025-09-18,899,shopping,Amazon
2025-09-20,130.02,groceries,Shufersal
2025-09-24,42.62,entertainment,Museum
2025-09-25,1190,shopping,Apple Store
2025-09-27,66.31,groceries,Shufersal
2025-10-01,102.63,utilities,Electric Company
2025-10-02,320,utilities,Internet - Bezeq
2025-10-06,20.12,subscriptions,Amazon Prime
2025-10-06,7.74,subscriptions,Claude Code
2025-10-08,36.86,transportation,Parking
2025-10-10,27.48,entertainment,Museum
2025-10-13,189.35,groceries,Shufersal
2025-10-18,36.42,dining,Cafe Cafe
2025-10-20,94.1,groceries,Trader Joe's
2025-10-21,30.75,transportation,Parking
2025-10-24,119.56,entertainment,Museum
2025-10-25,1049,shopping,IKEA
2025-10-27,149.54,groceries,Rami Levy
2025-11-01,46.7,utilities,Phone - Golan
2025-11-02,102.2,utilities,Water
2025-11-06,8.56,subscriptions,Netflix
2025-11-06,18.47,subscriptions,Spotify
2025-11-08,34.94,transportation,Parking
2025-11-10,41.02,entertainment,Cinema City
2025-11-13,120.73,groceries,Shufersal
2025-11-18,72.69,dining,Pizza Hut
2025-11-20,91.41,groceries,Shufersal
2025-11-24,38.39,entertainment,Bowling
2025-11-27,76.61,groceries,Trader Joe's
2025-12-01,106.37,utilities,Electric Company
2025-12-02,57.2,utilities,Internet - Bezeq
2025-12-06,21.16,subscriptions,Amazon Prime
2025-12-06,13.68,subscriptions,Claude Code
2025-12-08,15.92,transportation,Parking
2025-12-10,30.61,entertainment,Bowling
2025-12-13,60.7,groceries,Shufersal
2025-12-18,49.41,dining,McDonalds
2025-12-20,48.05,groceries,Shufersal
2025-12-21,42.59,transportation,Gas Station
2025-12-24,36.97,entertainment,Arcade
2025-12-27,30.16,groceries,Shufersal
2025-12-30,1190,shopping,Electronics Boutique
